Wahlkreisnummer;Wahlkreisname;AGS;Gemeindename;Gebietsnummer;Gebietsart;Gebietsname;Bezirksnummer;gemeldete Wahlbezirke;Anzahl Wahlbezirke;Ausgezaehlt abweichend Gebiet;Ausgezaehlt abweichend AGS;Ausbleibend;Wahlberechtigte gesamt (A);Wahlberechtigte ohne Wahlschein (A1);Wahlberechtigte mit Wahlschein (A2);Wahlberechtigte nicht im WVZ (A3);Waehler gesamt (B);Waehler ohne Wahlschein;Waehler mit Wahlschein;Erststimmen ungueltige (C);Erststimmen gueltige (D);D1;D2;D3;D4;D5;D6;D7;D8;D9;D11;D12;D13;D16;D17;D20;D21;D22;Zweitstimmen ungueltige (E);Zweitstimmen gueltige (F);F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;
1;01 - Stuttgart I;8111000;Stuttgart, Landeshauptstadt;1;WAHLKREIS;01 - Stuttgart I;;145;146;;;N;96148;58434;37692;22;72924;36507;36417;333;72591;34092;17267;3792;3311;4294;6978;;787;;;1690;;;;380;;;136;72788;36419;14268;2973;3955;4453;7010;452;349;97;57;87;1060;65;45;41;902;46;46;38;345;80;
2;02 - Stuttgart II;8111000;Stuttgart, Landeshauptstadt;2;WAHLKREIS;02 - Stuttgart II;;144;144;;;N;91262;59743;31506;13;69132;39108;30024;282;68850;33005;17231;3325;4547;6023;2470;;;;166;687;;879;;517;;;245;68887;26798;19326;3721;4536;6464;3946;710;262;82;49;123;917;124;36;32;958;82;58;51;492;120;
3;03 - Stuttgart III;8111000;Stuttgart, Landeshauptstadt;3;WAHLKREIS;03 - Stuttgart III;;131;131;;;N;88882;64227;24638;17;58888;35549;23339;474;58414;17724;17013;4731;3143;9178;3525;;707;;;1006;180;1207;;;;;268;58620;20025;15837;3478;2917;9005;3421;615;295;121;31;88;616;99;32;56;1079;161;80;29;527;108;
4;04 - Stuttgart IV;8111000;Stuttgart, Landeshauptstadt;4;WAHLKREIS;04 - Stuttgart IV;;135;135;;;N;90251;64613;25620;18;58942;34777;24165;396;58546;19668;16226;5259;2083;7121;5740;;;;;1103;;1119;;;;227;271;58671;22715;13694;3547;2442;7152;5164;660;315;95;65;110;658;82;31;34;1126;124;69;51;453;84;
5;05 - Böblingen;;;5;WAHLKREIS;05 - Böblingen;;188;189;;;N;129947;99028;30919;0;87531;58102;29429;736;86795;23068;26554;11527;4577;15223;2961;;;;;971;;1467;;;;447;452;87079;27893;26643;5114;4156;15111;2935;1460;237;122;25;95;597;226;26;43;1320;201;92;50;544;189;
6;06 - Leonberg;;;6;WAHLKREIS;06 - Leonberg;;178;178;;;N;132021;96022;35997;2;96812;62900;33912;678;96134;27605;33431;6173;5709;15595;3478;4143;;;;;;;;;;;395;96417;32454;29794;4257;4958;15746;2981;2112;316;132;36;167;695;282;37;58;1171;141;121;71;672;216;
7;07 - Esslingen;;;7;WAHLKREIS;07 - Esslingen;;149;152;;;N;112751;77475;31710;3566;78646;48821;29825;611;78035;24255;26715;7285;2829;10828;4785;;;;;1338;;;;;;;408;78238;28593;22377;4310;3523;10566;3794;1533;310;184;41;114;722;122;36;32;1047;174;103;54;488;115;
8;08 - Kirchheim;;;8;WAHLKREIS;08 - Kirchheim;;162;164;;;N;119805;85651;34153;1;87353;55340;32013;645;86708;23868;31870;5826;3439;16120;3076;;;;;848;;1264;;;397;;486;86867;27058;26703;4494;3927;16017;2954;1725;311;282;30;109;546;209;25;53;1167;122;126;59;697;253;
9;09 - Nürtingen;;;9;WAHLKREIS;09 - Nürtingen;;176;176;;;N;125076;89554;35519;3;91792;58407;33385;761;91031;25410;30704;6818;6288;16545;3866;;;;;948;;;;;452;;459;91333;29748;27227;4523;4899;15794;3245;1809;372;232;37;123;646;191;31;89;1102;107;111;54;681;312;
10;10 - Göppingen;;;10;WAHLKREIS;10 - Göppingen;;157;157;;;N;94643;72235;22408;0;63111;41762;21349;743;62368;13111;24011;5380;2779;14405;2682;;;;;;;;;;;;444;62667;17016;18800;3722;2616;14448;1987;1188;271;229;20;83;261;94;30;40;925;172;138;29;464;134;
